X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
13.93,1.14,2.63,1163,1297,109,0,1395,-6.39,1.65,5.37,1007,1109,1626,1057,437,CAR
12.63,1.22,2.24,1152,1282,106,0,1400,-5.61,1.29,5.3,1008,1118,1630,1061,439,CAR
11.3,1.61,2.12,1168,1281,106,0,1402,-7.06,1.96,4.55,1003,1123,1635,1061,437,CAR
10.83,2.35,2.43,1162,1269,103,0,1371,-8.79,0.9,3.8,1008,1119,1632,1056,442,CAR
9.22,2.43,2.86,1155,1280,108,0,1375,-9.61,0.86,1.61,1002,1134,1646,1057,441,CAR
7.22,3.1,3.49,1157,1296,108,0,1403,-11.22,0.35,-0.08,1008,1120,1626,1078,442,CAR
5.33,3.22,3.92,1157,1295,112,0,1387,-11.06,0.31,-0.16,1009,1119,1631,1059,444,CAR
5.92,3.61,3.45,1156,1274,110,0,1379,-11.57,0,0.27,1007,1123,1638,1061,438,CAR
8.9,3.18,2.94,1171,1281,107,0,1383,-11.02,0.24,0.2,1001,1130,1630,1054,443,CAR
10,2.47,1.96,1156,1279,110,0,1375,-10.51,0.67,0.98,1009,1133,1625,1047,444,CAR
9.96,2.24,1.1,1175,1277,112,0,1374,-9.81,0.86,2.04,1017,1120,1617,1055,439,CAR
11.3,1.73,0,1164,1302,108,0,1403,-8.36,1.49,3.02,1008,1121,1633,1055,442,CAR
12.59,1.77,0.51,1151,1293,110,0,1392,-7.53,1.37,4.12,1021,1125,1618,1057,446,CAR
13.26,1.57,1.1,1153,1285,112,0,1383,-6.75,1.26,4.51,1013,1121,1631,1065,442,CAR
11.89,1.77,1.14,1153,1298,112,0,1391,-7.34,1.65,3.88,1005,1126,1627,1061,446,CAR
10.43,2.39,1.73,1153,1297,106,0,1389,-8.98,0.98,2.51,1015,1123,1637,1067,448,CAR
7.96,2.51,2.35,1161,1285,110,0,1392,-9.53,1.22,0.86,1003,1122,1626,1057,447,CAR
6.94,2.75,2.79,1153,1278,108,0,1385,-11.61,0.78,0.04,1010,1131,1630,1065,443,CAR
6.98,2.82,3.45,1155,1316,103,0,1377,-11.06,0.63,0.43,1008,1119,1629,1062,447,CAR
7.61,3.14,3.1,1177,1283,112,0,1377,-9.92,0.43,0.82,1007,1121,1630,1055,448,CAR
8,3.1,3.8,1156,1300,117,0,1372,-8.71,0.27,1.14,976,1137,1626,1067,444,CAR
7.96,3.57,4.71,1157,1302,114,0,1392,-8.63,0.47,2.31,976,1173,1634,1063,446,CAR
7.92,3.18,5.06,1168,1293,118,0,1404,-8.63,0.47,3.3,981,1195,1638,1078,446,CAR
8.43,3.37,6.51,1173,1267,115,0,1385,-8.75,0.27,4.71,979,1216,1645,1094,448,CAR
7.81,2.63,7.69,1155,1280,117,0,1393,-8.39,0.2,5.88,991,1226,1663,1073,448,CAR
