X,Y,Z,Flex1,Flex2,Flex3,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
4.9,3.1,8.55,1158,1310,129,1381,-4.43,-0.86,11.02,1008,1328,1702,1088,690,DARK
6.35,1.65,10.16,1168,1284,127,1392,-3.3,-1.02,11.06,1015,1328,1694,1087,560,DARK
5.33,0.86,10.43,1148,1279,127,1379,-3.8,-1.41,10.36,1023,1325,1685,1094,675,DARK
5.88,0.24,10.98,1168,1285,129,1398,-5.33,-2.35,10.28,1010,1329,1694,1104,474,DARK
4.51,-0.24,10.16,1162,1280,128,1402,-3.96,-2.94,9.81,1008,1332,1697,1101,695,DARK
4.79,0.43,10.43,1181,1281,128,1379,-3.84,-2.55,12.2,1015,1344,1687,1104,698,DARK
5.18,0.35,9.26,1164,1283,125,1391,-4.12,-2.47,8.71,1006,1336,1690,1086,711,DARK
4.67,-0.59,10,1167,1283,130,1385,-4.9,-3.18,10.28,1008,1335,1680,1088,715,DARK
4.59,-0.04,9.96,1183,1285,118,1379,-4.51,-3.61,9.81,1015,1337,1711,1088,699,DARK
4.71,-0.08,9.89,1163,1284,128,1377,-4.75,-3.3,9.45,1015,1322,1694,1091,699,DARK
5.06,-0.16,9.89,1178,1285,126,1379,-4.59,-3.65,9.49,1014,1329,1689,1079,689,DARK
4.63,-0.16,9.85,1168,1296,125,1378,-4.71,-3.45,9.45,1022,1328,1691,1101,681,DARK
4.98,-0.04,9.85,1185,1307,129,1381,-4.75,-3.37,9.45,1011,1342,1701,1103,674,DARK
4.79,-0.08,9.81,1182,1284,123,1376,-4.71,-3.33,9.45,1007,1329,1695,1093,697,DARK
4.94,-0.08,9.85,1177,1315,126,1381,-4.67,-3.45,9.49,1006,1327,1686,1086,694,DARK
4.9,-0.04,9.77,1160,1282,125,1377,-4.79,-3.37,9.38,1014,1333,1694,1101,702,DARK
4.75,-0.12,9.73,1154,1293,123,1402,-4.71,-3.3,9.53,1008,1333,1687,1094,715,DARK
4.28,-0.2,9.81,1162,1280,128,1392,-4.63,-3.49,9.85,1014,1331,1681,1088,712,DARK
1.57,-0.98,9.3,1184,1282,124,1390,-3.88,-2.47,10.63,1023,1339,1681,1087,705,DARK
7.18,-0.39,10.32,1153,1294,128,1379,-4.79,-2.55,11.34,1011,1337,1702,1090,617,DARK
8.43,-1.41,11.3,1168,1285,126,1387,-7.53,-3.06,11.77,1001,1332,1687,1095,677,DARK
13.42,1.29,7.57,1162,1291,121,1377,-6.79,-1.26,10.55,1005,1334,1698,1088,677,DARK
11.41,3.73,6.32,1173,1283,126,1376,-6.86,0.35,10.28,1020,1327,1707,1102,677,DARK
9.77,6,5.33,1163,1291,129,1399,-6.83,2.47,10.71,1021,1338,1691,1097,713,DARK
8.04,6.79,2.75,1157,1290,121,1402,-6.12,3.33,9.49,1019,1339,1705,1090,783,DARK
5.49,7.37,0.35,1173,1301,128,1378,-4.55,4.55,7.85,1008,1331,1690,1101,771,DARK
4.28,7.81,0.55,1162,1287,127,1385,-3.65,5.33,7.53,1015,1340,1703,1090,944,DARK
3.3,7.92,1.18,1174,1283,130,1378,-2.04,5.33,6.75,1005,1337,1699,1089,1040,DARK
1.33,7.1,2.08,1159,1293,128,1401,0.16,5.22,7.34,993,1314,1680,1093,694,DARK
0.04,6.16,3.84,1168,1299,125,1377,2.43,3.84,7.65,998,1323,1690,1089,654,DARK
-0.94,4.79,6.12,1161,1301,127,1406,3.8,2.51,8.9,1006,1325,1712,1085,695,DARK
-1.96,3.3,9.34,1164,1298,131,1382,4.47,1.57,10.2,1013,1332,1715,1087,624,DARK
-2.47,2.98,9.73,1187,1291,131,1376,4.28,1.1,10.9,1018,1333,1685,1088,688,DARK
-2.08,2.39,9.65,1163,1280,117,1379,4.82,0.78,11.45,1008,1347,1701,1085,705,DARK
-1.61,2.31,10.08,1168,1285,128,1379,4.63,0.63,11.65,998,1328,1703,1099,700,DARK
-1.18,1.18,10.83,1159,1281,121,1383,4.31,0.2,11.22,1009,1333,1691,1093,704,DARK
-0.94,0.9,11.81,1179,1303,128,1392,4.75,-0.24,11.61,1007,1327,1691,1094,704,DARK
-0.24,1.06,11.69,1167,1282,126,1375,4,0,11.77,1008,1322,1680,1088,694,DARK
-0.12,1.33,11.06,1186,1303,129,1379,3.49,-0.08,11.69,998,1332,1691,1099,691,DARK
-0.04,1.41,10.55,1166,1301,122,1376,3.37,0.08,11.57,1003,1329,1692,1091,693,DARK
-0.16,1.53,10.71,1164,1296,128,1378,3.14,0,11.26,1003,1321,1693,1094,687,DARK
-0.51,1.37,10.51,1170,1287,113,1382,3.37,-0.16,11.26,1008,1323,1686,1078,689,DARK
-0.51,1.33,10.47,1200,1295,127,1378,3.02,-0.16,11.38,1019,1338,1699,1081,699,DARK
-0.59,1.22,10.71,1158,1285,138,1375,3.22,-0.16,11.22,1001,1329,1694,1089,699,DARK
-0.82,1.02,11.02,1164,1296,146,1383,3.65,-0.08,10.83,1011,1330,1694,1097,698,DARK
-0.71,1.33,10.43,1165,1312,129,1398,3.18,-0.16,11.18,995,1342,1695,1093,703,DARK
-0.78,1.88,10,1168,1281,126,1379,2.51,0,11.22,1007,1333,1673,1094,703,DARK
-0.75,2.16,9.18,1168,1299,128,1378,1.73,0.2,10.71,1005,1321,1671,1091,690,DARK
-0.51,3.33,9.41,1167,1290,134,1382,3.26,0.47,10.87,1011,1338,1696,1085,677,DARK
0.59,4.24,9.06,1158,1301,130,1381,2.55,0.51,11.38,1008,1329,1702,1089,686,DARK
0.43,4.75,8.04,1185,1286,126,1382,2.16,0.43,11.34,1006,1338,1691,1101,673,DARK
-1.18,4.94,8.98,1159,1294,130,1377,3.3,0.75,10.75,991,1328,1689,1094,670,DARK
0.31,4.94,9.53,1170,1296,128,1406,1.49,0.82,11.22,1011,1339,1700,1079,706,DARK
-1.61,5.49,7.26,1169,1307,131,1377,0.16,0.86,11.92,991,1333,1692,1083,699,DARK
-0.12,6.08,7.69,1182,1295,119,1378,0.31,1.1,11.73,1004,1330,1683,1089,702,DARK
1.61,5.92,8.79,1154,1283,127,1403,-0.78,0.86,11.65,1008,1339,1691,1104,716,DARK
1.96,4.28,8.59,1194,1309,132,1375,-1.41,0.63,10.9,1008,1328,1696,1104,717,DARK
3.3,4.04,9.65,1164,1296,128,1405,-3.33,-0.16,11.06,1021,1344,1710,1102,672,DARK
