X,Y,Z,Flex1,Flex2,Flex3,Flex5,X,Y,Z,Flex1,Flex2,Flex3,Flex4,Flex5,Label
6,-1.57,10.51,1167,1302,128,1369,-7.34,0.94,1.14,1005,1351,1711,1094,616,TREE
4.47,-1.22,10,1152,1282,128,1377,-9.3,0.67,0.98,999,1343,1703,1101,615,TREE
6.35,-0.27,8.28,1178,1293,139,1385,-10.83,0.71,1.41,993,1345,1681,1102,615,TREE
6.32,1.53,6.71,1180,1275,131,1371,-11.85,2,3.73,991,1345,1699,1117,611,TREE
7.69,2.63,6.63,1159,1310,140,1395,-7.96,2.08,4.35,991,1346,1701,1104,610,TREE
8,3.18,7.3,1157,1280,133,1377,-9.3,2.59,5.61,996,1344,1693,1088,611,TREE
7.69,3.84,7.02,1167,1303,130,1386,-9.02,3.02,5.41,997,1347,1686,1094,608,TREE
8.59,5.96,5.26,1157,1293,128,1372,-9.81,3.14,6.08,1008,1342,1693,1093,608,TREE
8.16,6.59,5.1,1159,1313,133,1378,-8.94,4.28,6.16,1003,1339,1696,1101,609,TREE
7.26,6.35,4.47,1142,1284,134,1375,-8.71,5.49,5.81,1003,1350,1715,1090,610,TREE
6.55,7.61,3.57,1182,1274,135,1389,-8.32,6.24,4.28,996,1343,1696,1089,610,TREE
5.77,8.16,3.22,1168,1279,129,1378,-7.57,6.79,2.9,990,1346,1707,1096,608,TREE
4.2,8.2,1.92,1159,1281,141,1387,-6.67,7.14,2.51,1007,1351,1705,1088,611,TREE
3.1,8.12,0.94,1183,1297,134,1386,-4.75,8.08,1.41,985,1328,1703,1107,609,TREE
2.59,9.3,1.92,1173,1297,131,1387,-4.82,7.73,0.98,999,1339,1698,1086,609,TREE
2.94,9.45,1.57,1154,1296,129,1377,-4.24,7.85,0.43,998,1355,1697,1095,609,TREE
2.47,8.39,-0.63,1173,1303,129,1370,-3.96,8.87,0.59,990,1349,1698,1106,606,TREE
2.55,8.75,-0.98,1160,1274,130,1375,-4.2,8.12,-0.9,999,1345,1709,1095,610,TREE
1.88,8.94,-0.08,1182,1282,132,1369,-4.08,8.04,-0.47,987,1345,1710,1093,611,TREE
1.69,8.98,0.31,1159,1307,131,1374,-3.8,8.39,0.27,983,1343,1703,1103,613,TREE
3.45,8.63,0.98,1159,1296,134,1401,-4,8.51,0.35,983,1347,1706,1095,615,TREE
3.73,8.28,2.31,1166,1281,128,1391,-4.39,8.36,1.45,999,1350,1703,1094,613,TREE
2.9,7.45,3.26,1152,1287,131,1391,-5.88,6.98,3.8,994,1328,1698,1097,613,TREE
3.14,5.1,2.63,1166,1289,129,1379,-5.77,5.22,4.79,1003,1338,1691,1093,611,TREE
